"","Growth Form","Common Name","Other Common Names","Scientific Name","Ecoregion","Min Height","Max Height","Min Spread","Max Spread","Light","Water","Leaf Retention","Lifespan","Bloom Season","Bloom Color","Seasonal Interest","Soil","Wildlife Benefit","Native Habitat","Maintenence","Comments","References"
"","Tree","Sweetgum","American Sweetgum, Red Gum, White Gum, Star-leaved Gum, Starleaf Gum, Alligator Tree, Satin Walnut, Bilsted, Liquidambar","Liquidambar styraciflua","Western Gulf Coastal Plain","50","60","20","30","Sun, Part Shade","Medium, High","Deciduous","Perennial","Spring","White, Green","Fall Color, Seeds, Larval Host","Sand, Loam, Clay, Acid, Well Drained, Saline","Butterflies, Birds, Small Mammals","Grassland,Woodland","If necessary, prune for shape.  It is not drought-tolerant and does not do well in small areas which limit root development. It grows rapidly and is long-lived, adapting to a variety of sites.","Palmate leaves are star-shaped with 5 lobes.  The fruit is a globular, spiky, woody ball. Vivid fall color is yellow to red.  Many species of birds and squirrels enjoy the seeds.   Larval Host: Edwards' Hairstreak (Satyrium edwardsii)","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) Miller, George O., Landscaping with Native Plants of Texas 2nd Ed., 2013, pg 48. 3) Wasowski and Wasowski, Native Texas Plants Landscaping Region by Region, 1991, pg. 335. 4) https://www.wildflower.org/plants/result.php?id_plant=LIST2. 5) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Liquidambar+styraciflua&formsubmit=Search+Terms. 6) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=449&locationType=County&mapType=Normal. 7) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=19027#null"
"","Grass & Sedge","Switchgrass","Wand Panic Grass","Panicum virgatum","Central Great Plains, Chihuahuan Deserts, Cross Timbers, East Central Texas Plains, Edwards Plateau, Gulf Coast Prairies and Marshes, High Plains, Southern Texas Plains, Southwestern Tablelands, Texas Blackland Prairies, Western Gulf Coastal Plain","3","5","2","3","Sun, Part Shade","Medium, High","Deciduous","Perennial","Fall","Green, Brown","Fall Color, Seeds, Larval Host","Sand, Loam, Clay","Butterflies, Birds","Grassland","Used for range re-seeding.","Clump-forming, warm-season grass. Fall color is pale yellow. One of the dominant species of the tallgrass prairie, but also grows along moist roadsides. Larval Host: Delaware Skipper.","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2)  Wasowski and Wasowski, Native Texas Plants Landscaping Region by Region, 1991, pg. 131. 3) https://www.wildflower.org/plants/result.php?id_plant=PAVI2. 4) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Panicum+virgatum&formsubmit=Search+Terms. 5) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=18666&locationType=County&mapType=Normal. 6) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=40913#null"
"","Tree","Sycamore","American Sycamore","Platanus occidentalis","East Central Texas Plains, Edwards Plateau, Texas Blackland Prairies, Western Gulf Coastal Plain","75","100","30","50","Sun, Part Shade, Shade","High","Deciduous","Perennial","Spring","Red, Yellow, Green, Brown","Seeds, Larval Host, Nesting Material","Sand, Loam, Clay, Moist","Butterflies, Birds","Woodland","Prune for shape or to raise canopy","Fast growing. Striking exfoliating ""camouflage"" bark. Fruits often persist through December. Attracts songbirds. Habitat notes: Low, moist woods; floodplains; rich bottomlands. Larval Host: Great Purple Hairstreak, Tiger Swallowtail.","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) Miller, George O., Landscaping with Native Plants of Texas 2nd Ed., 2013, pg 48, 53.. 3) https://www.wildflower.org/plants/result.php?id_plant=PLOC. 4) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Platanus+occidentalis&formsubmit=Search+Terms. 5) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=17559&locationType=County&mapType=Normal. 6) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=19020#null"
"","Herbaceous","Tahoka Daisy","Tansyaster, Tansy-aster, Tansey-leaf, Tansyleaf Tansyaster","Machaeranthera tanacetifolia","Chihuahuan Deserts, High Plains, Southwestern Tablelands","2","3","1","2","Sun, Part Shade","Medium","Deciduous","Annual","Spring, Summer, Fall","Blue, Purple, Violet","Nectar","Sand, Loam, Clay, Well Drained, Dry","Nectar Insects","Grassland","Often naturalized in a short grass meadow or on a rocky slope or other hard to maintain area. Also used to plant between flagstones. Periodic watering will encourage blooms. Shake out seeds when you pull up the dead plants and allow the new ones to come up where they will. Good drainage is required for success.","Flower heads with many bright purple, very narrow rays surrounding a yellow central disc.  Densely covered with sharp-pointed, deeply cut leaves which appear fern-like. Plants often form clumps or mounds.","1)  Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) https://www.wildflower.org/plants/result.php?id_plant=MATA2. 3) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Machaeranthera+tanacetifolia&formsubmit=Search+Terms. 4) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=3750&locationType=County&mapType=Normal. 5)  Wasowski and Wasowski, Native Texas Plants Landscaping Region by Region, 1991, pg 245. pg 158-159. 6) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=38013#null"
"","Herbaceous","Tall Goldenrod","Canada Goldenrod, Late Goldenrod, Canadian Goldenrod","Solidago altissima","East Central Texas Plains, Gulf Coast Prairies and Marshes, Texas Blackland Prairies, Western Gulf Coastal Plain","3","6","2","3","Sun, Part Shade","Medium","Deciduous","Perennial","Fall","Yellow","Seeds, Nectar","Sand, Loam, Clay, Caliche, Moist, Dry","Butterflies, Birds, Nectar Insects, Bees","Grassland,Woodland","Height is determined mostly by the fertility and moisture content of the soil. The western form is ssp. elongata.","Tall Goldenrod is a fall blooming perennial with rough, erect 2-ft stems that occur singularly or in clusters. The small, yellow flowers are arranged along the upper side of branches, forming a feathery, plume-shaped inflorescence.","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) https://www.wildflower.org/plants/result.php?id_plant=SOAL6. 3) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Solidago+altissima&formsubmit=Search+Terms. 4) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=4430&locationType=County&mapType=Normal, 5) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=36228#null"
"","Herbaceous","Tall Poppymallow","Annual Winecup, Tall Poppymallow, Tall Poppy Mallow","Callirhoe leiocarpa","East Central Texas Plains, Edwards Plateau, Southern Texas Plains, Texas Blackland Prairies","0.5","1","1","2","Sun, Part Shade","Medium","Deciduous","Annual","Spring, Summer","Red, Pink, Purple","Nectar, Larval Host","Sand, Loam, Clay","Butterflies, Bees","Grassland,Woodland","If desired, remove or mow plants after seed is collected or dispersed.","Allow to continuously reseed during the growing season for a second blooming in Fall.  Works well existing among other tall plants or in a planter. Larval Host: Painted Lady,","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) https://www.wildflower.org/plants/result.php?id_plant=CALE2. 3) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=14528&locationType=County&mapType=Normal.  4) Miller, George O., Landscaping with Native Plants of Texas 2nd Ed., 2013, pg 53. 5) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=21786#null"
"","Shrub","Texas Almond","Texas Wild Almond, Dwarf Plum","Prunus minutiflora","Edwards Plateau","2","3","2","3","Sun","Low","Deciduous","Perennial","Spring","White","Fruit, Nectar, Flowers","Limestone, Shallow, Dry","Birds, Small Mammals, Bees","Grassland,Woodland","Rare in the wild in the Edwards Plateau Ecoregion, but is propagated by some NPSOT chapters. Susceptible to web worm. Good as accent tree or shrub.","Shrub up to 3 feet tall, often thicket forming, bark gray, new growth on branchlets covered with woolly hairs. Grows on soils underlain with limestone and on limestone slopes and ledges. NOTE: Seeds are toxic. ","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas, 2) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=24792#null, 3) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=21588&locationType=County&mapType=Normal, 4) https://www.wildflower.org/plants/result.php?id_plant=PRMI2, 5) "
"","Tree","Texas Ash","Mountain Ash","Fraxinus texensis","Edwards Plateau, Texas Blackland Prairies","40","50","40","50","Sun, Part Shade","Very Low, Low","Deciduous","Perennial","Spring","Red, Green, Purple","Fall Color, Seeds, Larval Host, Nesting Material, Flowers","Rocky, Limestone","Butterflies, Birds, Deer","Grassland,Woodland,Wetland or Riparian","Very drought-tolerant. Low water requirements. Provide good drainage","Fast growing. Texas ash is a small tree with an attractive, densely branched canopy. Pinnate leaves have brilliant fall color. Long-lived and healthy. Larval host: Eastern Tiger Swallowtail.","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) Miller, George O., Landscaping with Native Plants of Texas 2nd Ed., 2013, pg 48. 3) https://www.wildflower.org/plants/result.php?id_plant=FRAL3. 4) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Fraxinus+albicans&formsubmit=Search+Terms. 5) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=15502&locationType=County&mapType=Normal, 6) Native and Adapted Landscape Plants, City of Austin and Texas A&M, 2014, 7) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=32935#null"
"","Herbaceous","Texas Aster","Drummond's Aster","Symphyotrichum drummondii var. texanum","East Central Texas Plains, Texas Blackland Prairies, Western Gulf Coastal Plain","1","3","1","2","Sun","Low","Deciduous","Perennial","Fall","White, Blue, Purple","Nectar","Clay, Calcareous","Butterflies, Bees","Grassland","Thin, divide, transplant in spring, cut back on July 4 for compact form","White-purple-ish blue, 0.5"" daisy-like flower, spreading form, blooming Sept. - Nov. Attracts butterflies and native bees. Will naturalize.","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) https://www.wildflower.org/plants/result.php?id_plant=SYDRT. 3) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Symphyotrichum+drummondii+var.+texanum&formsubmit=Search+Terms. 4) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=25509&locationType=County&mapType=Normal, 5) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=541077#null"
"","Herbaceous","Texas Bluebonnet","Bluebonnet, Texas Lupine, Buffalo Clover, Wolf Flower","Lupinus texensis","Chihuahuan Deserts, Cross Timbers, East Central Texas Plains, Edwards Plateau, Southern Texas Plains, Texas Blackland Prairies","1","3","1","3","Sun","Low","Deciduous","Annual","Spring","Blue","Nectar, Larval Host","Loam, Clay, Limestone","Butterflies, Hummingbirds, Bees","Grassland"," If planting this species in areas where it has not formerly grown, it may be helpful to inoculate the soil with a rhizobium (soil-borne bacteria which form nitrogen-rich root nodules) for lupines.","State Flower of Texas. Blue Flowers. Forms attractive leaf rosettes in winter.Larval Host: Hairstreak and Elfin Butterfly, Sulphurs.","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) Miller, George O., Landscaping with Native Plants of Texas 2nd Ed., 2013, pg 48, 53. 3) Wasowski and Wasowski, Native Texas Plants Landscaping Region by Region, 1991, pg. 157-158. 4) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=26133#null, 5) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=11326&locationType=County&mapType=Normal, 6) https://www.wildflower.org/plants/result.php?id_plant=LUTE"
"","Tree","Texas Ebony","Ebano, Black-bead Ebony, Ebony Ape's-earring","Ebenopsis ebano","Gulf Coast Prairies and Marshes, Southern Texas Plains","20","25","15","20","Part Shade","Very Low, Low","Evergreen","Perennial","Summer","White","Seeds, Nectar, Larval Host","Sand, Loam, Clay, Well Drained","Butterflies, Birds, Small Mammals, Hummingbirds","Grassland,Woodland","Resistant to root rot; extremely drought-tolerant.","Texas-ebony is a shrub or tree with a rounded, dense crown. Often multi-trunked. Dark green, twice-pinnate leaves on spiny branches. White blooms are followed by 4-6 in. seed pods which persist through the winter.  Nectar for butterflies, beneficial insects.  Nesting and cover. High protein seeds eaten by many wildlife. Larval Host: White Angled-Sulphur, Large Orange Sulphur Cassius Blue, Coyote Skipper.","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) Miller, George O., Landscaping with Native Plants of Texas 2nd Ed., 2013, pg 48. 52. 3) Wasowski and Wasowski, Native Texas Plants Landscaping Region by Region, 1991, pg. 336. 4) https://www.wildflower.org/plants/result.php?id_plant=EBEB. 5) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=11038&locationType=County&mapType=Normal. 6) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=565147#null."
"","Tree","Texas Hercules Club","Tickle Tongue, Texas Prickly Ash, Limestone Prickly Ash, Toothache Tree, Tickle-tongue, Tingle-tongue","Zanthoxylum hirsutum","Edwards Plateau","6","12","6","12","Sun, Part Shade","Low, Medium","Deciduous","Perennial","Spring","Yellow, Green","Fruit, Larval Host","Loam, Calcareous","Butterflies, Birds, Bees","Grassland","Very little maintenance needed. Very prickly so use leather gloves","Red-brown fruit and aromatic foliage which creates tingly sensation that is good for toothache when chewed. Has spiny branches and trunk. Attracts birds and native bees. Larval host: Giant Swallowtail","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) https://www.wildflower.org/plants/result.php?id_plant=ZAHI2. 3) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=22445&locationType=County&mapType=Normalm 4) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=28863#null"
"","Shrub","Texas Lantana","Calico Bush","Lantana horrida","Chihuahuan Deserts, Cross Timbers, Edwards Plateau, Gulf Coast Prairies and Marshes, Southern Texas Plains, Texas Blackland Prairies, Western Gulf Coastal Plain","3","5","4","5","Sun","Very Low, Low","Deciduous","Perennial","Spring, Summer, Fall","Orange, Yellow","Berry, Nectar","Sand, Loam, Clay, Caliche, Well Drained","Butterflies, Birds, Hummingbirds","Grassland,Woodland,Wetland or Riparian","Prune In winter to keep from sprawling","Flowers begin yellow and turn orange; flowers attract butterflies; fruit attracts birds; gets thorny with age. May cut back to ground during winter for all new growth in spring. Replaces Invasives: Largeleaf Lantana. Nectar: Black Swallowtail, Cloudless Giant Sulphur, Gian Swallowtail, Gulf Fritillary, Julia, Monarch, Pipevine Swallowtail, Spicebush Swallowtail, Sulphurs, Zebra Longwing.","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) Miller, George O., Landscaping with Native Plants of Texas 2nd Ed., 2013, pg 48., 52. 3) Wasowski and Wasowski, Native Texas Plants Landscaping Region by Region, 1991, pg. 248. 4) https://www.wildflower.org/plants/result.php?id_plant=LAUR2. 5) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=23836&locationType=County&mapType=Normal, 6) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=832818#null"
"","Tree","Texas Madrone","Madrone, Texas Arbutus, Manzanita, Xoxocote, Amazaquitl","Arbutus xalapensis","Chihuahuan Deserts, Edwards Plateau","20","30","20","30","Sun, Part Shade","Medium, High","Evergreen","Perennial","Spring","White","Fruit, Forage, Nectar","Rocky, Limestone, Well Drained","Birds, Small Mammals, Nectar Insects, Deer","Grassland,Woodland","Temperamental to propagate or grow. Propagation requirements are complex, and it is very difficult to transplant successfully from the wild. In the landscape, it grows best in well-drained areas.","Understory tree that is very slow growing. However, it is one of the most interesting and beautiful native trees of Texas. Flowers are white, small, urn shaped. Fruit is elongated, in cluster of red or orange spherical berries.. The outer bark peels back revealing a polished, red inner bark.","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) https://www.wildflower.org/plants/result.php?id_plant=ARXA80. 3) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Arbutus+xalapensis&formsubmit=Search+Terms. 4) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=9622&locationType=County&mapType=Normal, 5) Wasowski and Wasowski, Native Texas Plants Landscaping Region by Region, 1991, pg. 279. 6) Miller, George O., Landscaping with Native Plants of Texas 2nd Ed., 2013, pg 48. 7) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=184548#null"
"","Herbaceous","Texas Milkweed","White Milkweed","Asclepias texana","Chihuahuan Deserts, Edwards Plateau","1","3","1","3","Sun","Low","Deciduous","Perennial","Spring, Summer, Fall","White","Nectar","Sand, Loam, Gravelly, Acid","Butterflies, Bees","Grassland","Treat for aphids if plant looks sick with soapy water not pesticides","One of the more attractive native milkweeds. Endemic to just a few counties in the Edwards Plateau area of southwestern Texas, far western Texas, and a couple of states in adjacent northeastern Mexico.","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) https://www.wildflower.org/plants/result.php?id_plant=ASTE. 3) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Asclepias+texana&formsubmit=Search+Terms. 4) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=1406&locationType=County&mapType=Normal. 5) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=30311#null"
"","Shrub","Texas Mountain Laurel","Mountain Laurel, Mescal Bean, Mescal Bean Sophora, Frijolillo, Frijolito Fabaceae (Pea Family)","Dermatophyllum secundiflorum","Chihuahuan Deserts, Edwards Plateau, Texas Blackland Prairies","12","20","8","12","Sun","Very Low","Evergreen","Perennial","Spring","Purple","Nectar","Limestone, Caliche, Calcareous, Well Drained","Butterflies, Bees","Woodland","Prune for shape or to raise canopy","Slow growing. Showy flowers with strong grape bubble gum fragrance; occasional caterpillar problems. Appropriate for use near overhead and underground utilities. All parts poisonous to humans. Prefers calcarious soils, but will tolerate sand, clay, loam. Replaces Invasives: Ligustrum","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) https://www.wildflower.org/plants/result.php?id_plant=SOSE3. 3) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Dermatophyllum+secundiflorum&formsubmit=Search+Terms. 4) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=10962&locationType=County&mapType=Normal. 5) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=1085572#null., 6) Native and Adapted Landscape Plants, City of Austin and Texas A&M, 2014"
"","Tree","Texas Persimmon","Mexican Persimmon, Black Persimmon, Chapote, Chapote Prieto","Diospyros texana","Chihuahuan Deserts, Edwards Plateau, Gulf Coast Prairies and Marshes, Southern Texas Plains","8","20","4","5","Sun","Very Low","Deciduous","Perennial","Spring","White","Fruit, Nectar, Larval Host","Rocky, Limestone, Alkaline, Shallow","Butterflies, Birds, Small Mammals, Bees","Woodland","Prune for shape or to raise canopy, if desired","Multi-trunked, slow-growing native shrub; smooth, gray bark; female trees bear fruit which attract wildlife but can be messy so don’t plant near paved surfaces or in rain gardens. Larval Host: Gray Hairstreak.","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) Miller, George O., Landscaping with Native Plants of Texas 2nd Ed., 2013, pg 48. 3) Wasowski and Wasowski, Native Texas Plants Landscaping Region by Region, 1991, pg. 288. 4) https://www.wildflower.org/plants/result.php?id_plant=DITE3. 5) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Diospyros+texana&formsubmit=Search+Terms. 6) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=9557&locationType=County&mapType=Normal. 7) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=23854#null., 8) Native and Adapted Landscape Plants, City of Austin and Texas A&M, 2014"
"","Herbaceous","Texas Prairie Parsley","Texas-parsley, Texas Parsley","Polytaenia texana","Cross Timbers, East Central Texas Plains, Gulf Coast Prairies and Marshes, Texas Blackland Prairies, Western Gulf Coastal Plain","2","4","0.5","1","Sun","Very Low, Low","Deciduous","Biennial","Spring, Summer","Yellow, Green","Nectar, Larval Host","Sand, Loam, Clay, Well Drained","Butterflies","Grassland,Woodland","","Biennial--lives 2 years, only flowers in 2nd year. In the celery family, its leaves resemble parsley. Seeds are flat, resembling rolled oats. Important nectar plant. Larval Host: Black Swallowtail butterfly.","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) https://www.wildflower.org/plants/result.php?id_plant=POTE3. 3) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=1252&locationType=County&mapType=Normal. 4) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=29834#null"
"","Tree","Texas Red Oak","Spanish Oak","Quercus buckleyi","Cross Timbers, Edwards Plateau","40","50","50","60","Sun, Part Shade","Low","Deciduous","Perennial","Spring","White, Red, Green","Fall Color, Nuts","Rocky","Birds, Small Mammals","Woodland","Paint any pruning wounds immediately to prevent oak wilt","A superior shade tree known for its red to orange late-fall foliage. It tolerates alkaline soil as well as neutral and slightly acidic soil. Susceptible to oak wilt.  Alternative: Shumard Oak but only in well-drained soil. Habitat notes: Restricted habitat associated with limestone ridges, slopes and creek bottoms.","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) Miller, George O., Landscaping with Native Plants of Texas 2nd Ed., 2013, pg 48. 3) https://www.wildflower.org/plants/result.php?id_plant=QUBU2. 4) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Quercus+buckleyi&formsubmit=Search+Terms. 5) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=12071&locationType=County&mapType=Normal. 6) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=195168#null"
"","Tree","Texas Redbud","","Cercis canadensis var. texensis","Cross Timbers, Edwards Plateau","15","20","10","15","Sun","Very Low, Medium","Deciduous","Perennial","Spring","Pink, Purple","Seeds, Nectar, Larval Host","Limestone, Well Drained","Butterflies, Birds, Hummingbirds, Bees","Woodland","Prune for shape or to raise canopy; remove suckers","Mostly multi-trunked with thick leathery leaves. Mexican Redbud, with smaller, wavy edged leaves, is the drought tolerant alternative. Eastern Redbud is not recommended for this area. Replaces Invasives: Chinese Tallow Tree, Golden Rain Tree, Salt Cedar. Larval Host: Henry's Elfin Butterfly. ","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) https://www.wildflower.org/plants/result.php?id_plant=CECAT. 3) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=27176&locationType=County&mapType=Normal. 4) Miller, George O., Landscaping with Native Plants of Texas 2nd Ed., 2013, pg 48. 5) Wasowski and Wasowski, Native Texas Plants Landscaping Region by Region, 1991, pg. 282. 6) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=527243#null"
"","Tree","Texas Sabal Palm","Texas Palm, Texas Palmetto, Mexican Palm, Mexican Palmetto, Rio Grande Palmetto, Victoria Palmetto, Palma De Micharos, Apachite","Sabal mexicana","Gulf Coast Prairies and Marshes","35","45","12","15","Sun, Part Shade","Low, Medium","Evergreen","Perennial","Spring","White","Fruit","Sand, Loam, Clay, Poor Drainage","Birds","Grassland","For tree health, do not remove base of dead leaves. Very deep root system makes it hard to transplant after it gets a foot tall. Takes a lot of water to establish.","Slow-growing; disease-resistant, unlike imported exotic palms. Winter hardy as far north as Austin. Fruit is dark purple and hand down in clusters. Fruit for birds, wildlife; cover and nesting for birds and bats.","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) Miller, George O., Landscaping with Native Plants of Texas 2nd Ed., 2013, pg 48. 3) Wasowski and Wasowski, Native Texas Plants Landscaping Region by Region, 1991, pg. 346. 4) https://www.wildflower.org/plants/result.php?id_plant=SAME8. 5) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Sabal+mexicana&formsubmit=Search+Terms. 6) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=1788&locationType=County&mapType=Normal, 7) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=42504#null"
"","Herbaceous","Texas Sage","Blue Sage","Salvia texana","Edwards Plateau, Texas Blackland Prairies","1","1.5","1","1.5","Sun, Part Shade","Low","Deciduous","Perennial","Spring","Blue, Purple","Nectar, Pollen","Limestone, Well Drained","Hummingbirds, Bees","Grassland","Use as ornamental in perennial garden, shortgrass meadow, or limestone prairie.","A herbaceous perennial up to one and a half feet tall with purple-blue blooms.  Occurs from north-central Texas (Denton County) south to northern Mexico and west to southeastern New Mexico","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) Miller, George O., Landscaping with Native Plants of Texas 2nd Ed., 2013, pg 48. 3) Wasowski and Wasowski, Native Texas Plants Landscaping Region by Region, 1991, pg. 207, 209.. 4) https://www.wildflower.org/plants/result.php?id_plant=SATE3. 5) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=13676&locationType=County&mapType=Normal 6) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=32693#null"
"","Grass & Sedge","Texas Sedge","","Carex texensis","Western Gulf Coastal Plain","0.5","1","0.5","1","Sun, Part Shade","Low","Semi Evergreen","Perennial","Spring","Yellow, Green, Brown","Seeds","Sand, Moist, Dry","Birds, Small Mammals","Woodland","Optional - mow on high setting to maintain desired height.","Good turf substitute for dry to moist soil in sun to light shade. Colonizes by rhizomes. Fine textured foliage. Good for erosion control. Nice mixed with small flowering plants. Provides seeds and habitat for wildlife.","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) https://www.wildflower.org/plants/result.php?id_plant=CATE7. 3) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Carex+texensis&formsubmit=Search+Terms. 4) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=8830&locationType=County&mapType=Normal. 5) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=39842#null"
"","Herbaceous","Texas Skeleton Plant","Texas Skeleton Weed, Skeleton-plant, Purple Dandelion, Flowering Straw","Lygodesmia texana","Central Great Plains, Chihuahuan Deserts, Cross Timbers, East Central Texas Plains, Edwards Plateau, Gulf Coast Prairies and Marshes, High Plains, Southern Texas Plains, Southwestern Tablelands, Texas Blackland Prairies","1","2","0.25","0.5","Sun","Low","Deciduous","Perennial","Spring, Summer","Pink, Purple","Nectar","Rocky, Alkaline, Calcareous, Dry","Butterflies, Nectar Insects","Grassland,Woodland","Do not overwater it or allow it to be overcrowded by other plants in the garden.","Texas Skeleton Plant has smooth, almost leafless stems. Its few leaves are at the base of the plant and are narrow, gray-green, with short lobes. The bare stems, growing at odd angles, suggest its common name. The tubular flower grows singly at the end of flower stems.  When the stems are broken, they exude sap which coagulates into a gum.","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) https://www.wildflower.org/plants/result.php?id_plant=LYTE. 3) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=3742&locationType=County&mapType=Normal. 4) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Lygodesmia+texana&formsubmit=Search+Terms, 5) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=503625#null"
